drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AMP,781.0,Lasso (+ pairwise),pw,0.7,36772,2765,1002,0.4820238560569339,0.5120007832155458,0.6441692910157144
AMP,781.0,Linear (additive),bare,0.7,36772,2765,1003,0.5570064535240895,0.3483678343450015,0.004101875005289912
AMP,781.0,Lasso (additive),bare,0.7,36772,2765,1003,0.5570102897407329,0.348358858467786,0.029751540860161185
AMP,781.0,Decision tree,bare,0.7,36772,2765,1003,0.7024684277685005,-0.03641974756053412,0.04965937486849725
AMP,781.0,LightGBM,bare,0.7,36772,2765,1003,0.46315141170837903,0.5494655093358967,0.5489363342057914
AMP,781.0,Linear (+ pairwise),pw,0.7,36772,2765,1003,0.48228286109161334,0.5114762107900122,0.055899957893416286
AMP,781.0,Lasso (+ pairwise),pw,0.7,36772,2765,1003,0.4823171509606531,0.5114067411338767,0.6185820829123259
AMP,781.0,Linear (additive),bare,0.9,47278,2765,1001,0.5570715040308963,0.34821562254358174,0.005397209199145436
AMP,781.0,Lasso (additive),bare,0.9,47278,2765,1001,0.5570726185573197,0.3482130145062563,0.032756750006228685
AMP,781.0,Decision tree,bare,0.9,47278,2765,1001,0.7047792823537973,-0.04324981871233291,0.06591137498617172
AMP,781.0,LightGBM,bare,0.9,47278,2765,1001,0.463975229353973,0.547861332612402,0.5445776251144707
AMP,781.0,Linear (+ pairwise),pw,0.9,47278,2765,1001,0.48210471577716346,0.5118370453037457,0.07944329222664237
AMP,781.0,Lasso (+ pairwise),pw,0.9,47278,2765,1001,0.4821267055491889,0.511792512087011,1.0029787921812385
AMP,781.0,Linear (additive),bare,0.9,47278,2765,1002,0.5571914496505996,0.34793491496113926,0.005450166994705796
AMP,781.0,Lasso (additive),bare,0.9,47278,2765,1002,0.5571886229659625,0.3479415309193852,0.031527332961559296
AMP,781.0,Decision tree,bare,0.9,47278,2765,1002,0.7020098364089996,-0.03506698071770331,0.061917582992464304
AMP,781.0,LightGBM,bare,0.9,47278,2765,1002,0.4625929088197538,0.5505514311058344,0.5619430840015411
AMP,781.0,Linear (+ pairwise),pw,0.9,47278,2765,1002,0.4819770107338175,0.5120956306794608,0.07685079099610448
AMP,781.0,Lasso (+ pairwise),pw,0.9,47278,2765,1002,0.48196317425387225,0.5121236435596177,0.9559129581321031
AMP,781.0,Linear (additive),bare,0.9,47278,2765,1003,0.5570630607154003,0.34823538007700183,0.005471665877848864
AMP,781.0,Lasso (additive),bare,0.9,47278,2765,1003,0.5570643115136472,0.3482324532020511,0.03260775003582239
AMP,781.0,Decision tree,bare,0.9,47278,2765,1003,0.6919148606308637,-0.0055122740177957485,0.06332508311606944
AMP,781.0,LightGBM,bare,0.9,47278,2765,1003,0.46312028810682493,0.5495260587997403,0.5427565001882613
AMP,781.0,Linear (+ pairwise),pw,0.9,47278,2765,1003,0.4819598852917133,0.512130302165442,0.07817712496034801
AMP,781.0,Lasso (+ pairwise),pw,0.9,47278,2765,1003,0.48198703065463083,0.5120753441767731,0.9434719169512391
AMP,781.0,Linear (additive),bare,0.99,52006,2765,1001,0.5570771342129014,0.3482024476344696,0.005614916095510125
AMP,781.0,Lasso (additive),bare,0.99,52006,2765,1001,0.5570770316749328,0.34820268757966444,0.03402995807118714
AMP,781.0,Decision tree,bare,0.99,52006,2765,1001,0.7098380770045721,-0.05828013409620336,0.07049554213881493
AMP,781.0,LightGBM,bare,0.99,52006,2765,1001,0.46274361206301173,0.5502585412288612,0.5481709579471499
AMP,781.0,Linear (+ pairwise),pw,0.99,52006,2765,1001,0.48188343810095946,0.5122850590697996,0.08843195880763233
AMP,781.0,Lasso (+ pairwise),pw,0.99,52006,2765,1001,0.48191834881973605,0.512214390129748,1.002154041081667
AMP,781.0,Linear (additive),bare,0.99,52006,2765,1002,0.5570905035861126,0.34817116209512033,0.005580042023211718
AMP,781.0,Lasso (additive),bare,0.99,52006,2765,1002,0.5570890928169038,0.3481744634577665,0.03304912499152124
AMP,781.0,Decision tree,bare,0.99,52006,2765,1002,0.7004165188102314,-0.0303738302597909,0.07092599989846349
AMP,781.0,LightGBM,bare,0.99,52006,2765,1002,0.46180738740160565,0.5520765375873234,0.5633132921066135
AMP,781.0,Linear (+ pairwise),pw,0.99,52006,2765,1002,0.48194382786018497,0.512162810280766,0.09134095790795982
AMP,781.0,Lasso (+ pairwise),pw,0.99,52006,2765,1002,0.4819746758337802,0.512100357897338,1.0234599579125643
AMP,781.0,Linear (additive),bare,0.99,52006,2765,1003,0.557068657476194,0.3482222835740988,0.0056136250495910645
AMP,781.0,Lasso (additive),bare,0.99,52006,2765,1003,0.5570682203799128,0.3482233063905882,0.03384075011126697
AMP,781.0,Decision tree,bare,0.99,52006,2765,1003,0.7016980773507581,-0.03414784871256393,0.06714508286677301
AMP,781.0,LightGBM,bare,0.99,52006,2765,1003,0.46225325230425246,0.5512111995011751,0.56990204192698
AMP,781.0,Linear (+ pairwise),pw,0.99,52006,2765,1003,0.4819806472688012,0.5120882681374238,0.08672325010411441
AMP,781.0,Lasso (+ pairwise),pw,0.99,52006,2765,1003,0.482006054373834,0.5120368272697429,1.0158601249568164
AZT,36.0,Linear (additive),bare,0.0003,16,2765,1001,1.017848602126905,-6.277559681231262,0.00042033405043184757
AZT,36.0,Lasso (additive),bare,0.0003,16,2765,1001,0.37734406771822776,-0.000217526153764247,0.012834709137678146
AZT,36.0,Decision tree,bare,0.0003,16,2765,1001,0.5872498260826032,-1.4225078902613166,0.0003565419465303421
AZT,36.0,LightGBM,bare,0.0003,16,2765,1001,0.37734406768451667,-0.00021752597504964832,0.0055834169033914804
AZT,36.0,Linear (+ pairwise),pw,0.0003,16,2765,1001,0.41406534209122753,-0.20436234439422019,0.00037533300928771496
